config	Structure mad	Structure qwk	Structure acc	Structure macro-F1	Lexicon mad	Lexicon qwk	Lexicon acc	Lexicon macro-F1	Syntax mad	Syntax qwk	Syntax acc	Syntax macro-F1	Semantics mad	Semantics qwk	Semantics acc	Semantics macro-F1
(random_state: 2, prior: uniform, aggregation_type: mean, extra: )	0.667	0.581	0.433	0.385	0.7	0.51	0.483	0.444	0.683	0.567	0.433	0.434	1.033	0.347	0.283	0.255
(random_state: 2, prior: uniform, aggregation_type: mean+std, extra: )	0.6	0.622	0.483	0.416	0.683	0.581	0.45	0.398	0.55	0.696	0.483	0.484	1.033	0.347	0.283	0.255
(random_state: 2, prior: uniform, aggregation_type: mean+std+per+skew, extra: )	0.567	0.619	0.517	0.441	0.567	0.621	0.55	0.47	0.6	0.641	0.467	0.469	1.033	0.347	0.283	0.255
(random_state: 2, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: )	0.55	0.645	0.533	0.464	0.633	0.63	0.467	0.434	0.6	0.676	0.433	0.44	1.033	0.347	0.283	0.255
(random_state: 2, prior: uniform, aggregation_type: full, extra: )	0.583	0.606	0.533	0.463	0.6	0.633	0.5	0.45	0.617	0.668	0.417	0.424	1.033	0.347	0.283	0.255
(random_state: 2, prior: empirical, aggregation_type: mean, extra: )	0.533	0.608	0.533	0.444	0.567	0.52	0.483	0.384	0.683	0.535	0.433	0.439	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std, extra: )	0.517	0.644	0.55	0.453	0.633	0.572	0.467	0.409	0.533	0.698	0.5	0.499	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std+per+skew, extra: )	0.567	0.619	0.517	0.441	0.567	0.621	0.55	0.47	0.583	0.665	0.467	0.47	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: )	0.55	0.645	0.533	0.464	0.633	0.63	0.467	0.434	0.6	0.676	0.433	0.44	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: full, extra: )	0.583	0.606	0.533	0.463	0.6	0.633	0.5	0.45	0.617	0.668	0.417	0.424	0.6	0.425	0.417	0.292
(random_state: 22, prior: uniform, aggregation_type: mean, extra: )	0.65	0.574	0.45	0.394	0.817	0.413	0.383	0.359	0.55	0.673	0.483	0.491	1.033	0.347	0.283	0.255
(random_state: 22, prior: uniform, aggregation_type: mean+std, extra: )	0.65	0.608	0.45	0.402	0.6	0.609	0.533	0.472	0.683	0.517	0.4	0.406	1.033	0.347	0.283	0.255
(random_state: 22, prior: uniform, aggregation_type: mean+std+per+skew, extra: )	0.533	0.651	0.55	0.477	0.65	0.598	0.467	0.421	0.567	0.694	0.467	0.463	1.033	0.347	0.283	0.255
(random_state: 22, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: )	0.667	0.561	0.417	0.348	0.633	0.624	0.467	0.428	0.617	0.667	0.417	0.428	1.033	0.347	0.283	0.255
(random_state: 22, prior: uniform, aggregation_type: full, extra: )	0.617	0.585	0.467	0.387	0.483	0.672	0.6	0.474	0.6	0.654	0.45	0.454	1.033	0.347	0.283	0.255
(random_state: 22, prior: empirical, aggregation_type: mean, extra: )	0.583	0.579	0.5	0.424	0.783	0.376	0.367	0.339	0.517	0.669	0.517	0.536	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std, extra: )	0.583	0.611	0.517	0.445	0.583	0.607	0.55	0.492	0.667	0.516	0.417	0.421	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std+per+skew, extra: )	0.533	0.651	0.55	0.477	0.65	0.598	0.467	0.421	0.567	0.694	0.467	0.463	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: )	0.667	0.561	0.417	0.348	0.6	0.633	0.5	0.45	0.617	0.659	0.417	0.431	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: full, extra: )	0.617	0.585	0.467	0.387	0.483	0.672	0.6	0.474	0.583	0.655	0.467	0.469	0.6	0.425	0.417	0.292
(random_state: 42, prior: uniform, aggregation_type: mean, extra: )	0.633	0.59	0.467	0.41	0.85	0.39	0.433	0.377	0.567	0.685	0.467	0.467	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std, extra: )	0.617	0.602	0.483	0.42	0.467	0.647	0.6	0.523	0.717	0.527	0.383	0.394	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+per+skew, extra: )	0.6	0.608	0.483	0.418	0.667	0.593	0.467	0.435	0.55	0.702	0.483	0.474	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: )	0.6	0.602	0.483	0.413	0.567	0.63	0.533	0.443	0.617	0.667	0.417	0.428	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: full, extra: )	0.533	0.646	0.55	0.476	0.517	0.661	0.567	0.458	0.583	0.686	0.45	0.446	1.033	0.347	0.283	0.255
(random_state: 42, prior: empirical, aggregation_type: mean, extra: )	0.633	0.55	0.467	0.402	0.583	0.487	0.45	0.356	0.567	0.685	0.467	0.467	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std, extra: )	0.583	0.606	0.517	0.447	0.483	0.581	0.583	0.46	0.65	0.55	0.433	0.444	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std+per+skew, extra: )	0.6	0.608	0.483	0.418	0.667	0.593	0.467	0.435	0.55	0.702	0.483	0.474	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: )	0.6	0.602	0.483	0.413	0.567	0.63	0.533	0.443	0.583	0.676	0.45	0.458	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: full, extra: )	0.533	0.646	0.55	0.476	0.517	0.661	0.567	0.458	0.583	0.686	0.45	0.446	0.617	0.396	0.4	0.261
(random_state: 42, prior: uniform, aggregation_type: mean, extra: kmeans++)	0.633	0.604	0.483	0.43	0.867	0.378	0.417	0.367	0.667	0.588	0.417	0.43	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std, extra: kmeans++)	0.617	0.604	0.483	0.422	0.583	0.658	0.5	0.446	0.7	0.565	0.4	0.412	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.617	0.574	0.5	0.434	0.567	0.621	0.55	0.47	0.6	0.646	0.45	0.437	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.55	0.636	0.533	0.461	0.55	0.635	0.55	0.451	0.633	0.627	0.417	0.395	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: full, extra: kmeans++)	0.617	0.59	0.483	0.421	0.5	0.65	0.6	0.475	0.55	0.684	0.483	0.489	1.033	0.347	0.283	0.255
(random_state: 42, prior: empirical, aggregation_type: mean, extra: kmeans++)	0.567	0.603	0.533	0.451	0.6	0.466	0.433	0.341	0.667	0.588	0.417	0.43	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std, extra: kmeans++)	0.533	0.617	0.55	0.46	0.583	0.631	0.5	0.459	0.633	0.581	0.45	0.461	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.617	0.574	0.5	0.434	0.567	0.621	0.55	0.47	0.617	0.63	0.433	0.413	0.617	0.396	0.4	0.261
