config	Structure mad	Structure qwk	Structure acc	Structure macro-F1	Lexicon mad	Lexicon qwk	Lexicon acc	Lexicon macro-F1	Syntax mad	Syntax qwk	Syntax acc	Syntax macro-F1	Semantics mad	Semantics qwk	Semantics acc	Semantics macro-F1
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.145	0.885	0.855	0.91	0.277	0.781	0.723	0.828	0.242	0.771	0.768	0.793	0.636	0.018	0.476	0.283
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.145	0.885	0.855	0.91	0.277	0.781	0.723	0.828	0.242	0.771	0.768	0.793	0.636	0.018	0.476	0.283
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.145	0.885	0.855	0.91	0.277	0.781	0.723	0.828	0.242	0.771	0.768	0.793	0.636	0.018	0.476	0.283
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.145	0.885	0.855	0.91	0.277	0.781	0.723	0.828	0.242	0.771	0.768	0.793	0.636	0.018	0.476	0.283
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.19	0.798	0.81	0.893	0.316	0.668	0.684	0.805	0.225	0.757	0.775	0.867	0.595	0.083	0.448	0.277
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.275	0.707	0.725	0.845	0.177	0.811	0.823	0.9	0.193	0.794	0.807	0.892	0.526	0.151	0.519	0.321
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.275	0.707	0.725	0.845	0.177	0.811	0.823	0.9	0.193	0.794	0.807	0.892	0.526	0.151	0.519	0.321
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.491	0.607	0.597	0.665	0.141	0.888	0.859	0.913	0.292	0.696	0.723	0.668	0.6	0.134	0.481	0.287
(random_state: 42, prior: empirical, aggregation_type: full, extra:  )	0.491	0.607	0.597	0.665	0.141	0.888	0.859	0.913	0.292	0.696	0.723	0.668	0.6	0.134	0.481	0.287
